State	County	Year	Days with AQI	Good Days	Moderate Days	Unhealthy for Sensitive Groups Days	Unhealthy Days	Very Unhealthy Days	Hazardous Days	Max AQI	90th Percentile AQI	Median AQI	Days CO	Days NO2	Days Ozone	Days SO2	Days PM2.5	Days PM10
California	Alameda	2016	366	239	112	13	2	0	0	154	74	44	0	15	214	0	137	0
California	Alpine	2016	24	22	2	0	0	0	0	65	47	22	0	0	0	0	24	0
California	Amador	2016	366	304	57	5	0	0	0	115	64	37	0	0	366	0	0	0
California	Butte	2016	366	169	181	16	0	0	0	127	86	52	0	0	199	0	167	0
California	Calaveras	2016	366	232	112	22	0	0	0	150	87	44	0	0	280	0	85	1
California	Colusa	2016	366	272	94	0	0	0	0	91	64	43	0	0	248	0	99	19
California	Contra Costa	2016	366	287	76	3	0	0	0	143	59	40	0	2	223	0	141	0
California	Del Norte	2016	177	172	5	0	0	0	0	65	40	20	0	0	0	0	177	0
California	El Dorado	2016	366	222	101	31	12	0	0	172	105	45	0	0	365	0	1	0
California	Fresno	2016	366	92	169	80	25	0	0	190	140	74	0	1	217	0	136	12
California	Glenn	2016	362	259	103	0	0	0	0	91	61	43	0	0	210	0	143	9
California	Humboldt	2016	366	325	41	0	0	0	0	85	52	35	0	1	228	0	131	6
California	Imperial	2016	366	105	216	39	3	1	1	541	105	60	0	2	144	0	90	130
California	Inyo	2016	366	244	99	15	4	1	3	426	87	44	0	0	313	0	16	37
California	Kern	2016	366	70	180	102	14	0	0	169	136	80	0	0	231	0	128	7
California	Kings	2016	366	85	207	71	3	0	0	156	115	70	0	0	184	0	133	49
California	Lake	2016	365	358	7	0	0	0	0	74	44	33	0	0	363	0	2	0
California	Los Angeles	2016	366	32	230	81	19	4	0	210	134	75	0	33	174	0	157	2
California	Madera	2016	366	123	193	47	3	0	0	156	105	59	0	0	217	0	134	15
California	Marin	2016	366	339	27	0	0	0	0	90	48	32	0	14	221	0	131	0
California	Mariposa	2016	366	219	127	19	1	0	0	159	93	46	0	0	270	0	80	16
California	Mendocino	2016	364	334	30	0	0	0	0	66	45	33	0	0	193	0	167	4
California	Merced	2016	366	158	173	33	2	0	0	151	100	53	0	0	225	0	138	3
California	Mono	2016	366	314	19	3	6	0	3	6403	63	18	0	0	0	0	19	347
California	Monterey	2016	366	325	30	3	8	0	0	176	52	36	0	0	262	0	63	41
California	Napa	2016	366	296	70	0	0	0	0	90	56	37	0	2	166	0	197	1
California	Nevada	2016	366	235	86	40	5	0	0	179	101	44	0	0	359	0	7	0
California	Orange	2016	366	150	201	13	2	0	0	169	87	54	0	30	173	0	162	1
California	Placer	2016	366	205	126	30	5	0	0	185	97	48	0	0	290	0	76	0
California	Plumas	2016	355	250	94	10	1	0	0	152	73	32	0	0	0	0	355	0
California	Riverside	2016	366	44	193	86	37	4	2	389	154	82	0	0	210	0	97	59
