Year	ZIP code	Age Group	Number of Visits	County
2012	94501	All Ages	309	Alameda
2012	94502	All Ages	27	Alameda
2012	94536	All Ages	314	Alameda
2012	94538	All Ages	368	Alameda
2012	94539	All Ages	89	Alameda
2012	94541	All Ages	655	Alameda
2012	94542	All Ages	64	Alameda
2012	94544	All Ages	610	Alameda
2012	94545	All Ages	278	Alameda
2012	94546	All Ages	253	Alameda
2012	94550	All Ages	138	Alameda
2012	94551	All Ages	103	Alameda
2012	94552	All Ages	20	Alameda
2012	94555	All Ages	142	Alameda
2012	94560	All Ages	245	Alameda
2012	94566	All Ages	105	Alameda
2012	94568	All Ages	139	Alameda
2012	94577	All Ages	289	Alameda
2012	94578	All Ages	334	Alameda
2012	94579	All Ages	120	Alameda
2012	94580	All Ages	150	Alameda
2012	94587	All Ages	460	Alameda
2012	94601	All Ages	481	Alameda
2012	94602	All Ages	180	Alameda
2012	94603	All Ages	508	Alameda
2012	94605	All Ages	529	Alameda
2012	94606	All Ages	276	Alameda
2012	94607	All Ages	329	Alameda
2012	94608	All Ages	481	Alameda
2012	94609	All Ages	207	Alameda
2012	94610	All Ages	163	Alameda
2012	94611	All Ages	87	Alameda
2012	94612	All Ages	123	Alameda
2012	94618	All Ages	43	Alameda
2012	94619	All Ages	161	Alameda
2012	94621	All Ages	469	Alameda
2012	94702	All Ages	120	Alameda
2012	94703	All Ages	140	Alameda
2012	94704	All Ages	39	Alameda
2012	94705	All Ages	44	Alameda
2012	94706	All Ages	51	Alameda
2012	94707	All Ages	28	Alameda
2012	94709	All Ages	18	Alameda
2012	94710	All Ages	56	Alameda
2012	94588	All Ages	93	Alameda
2012	94708	All Ages	13	Alameda
2013	94501	All Ages	293	Alameda
2013	94502	All Ages	23	Alameda
2013	94536	All Ages	305	Alameda
2013	94538	All Ages	319	Alameda
2013	94539	All Ages	62	Alameda
2013	94541	All Ages	608	Alameda
2013	94542	All Ages	56	Alameda
2013	94544	All Ages	607	Alameda
2013	94545	All Ages	288	Alameda
2013	94546	All Ages	243	Alameda
2013	94550	All Ages	129	Alameda
2013	94551	All Ages	104	Alameda
2013	94552	All Ages	27	Alameda
2013	94555	All Ages	109	Alameda
2013	94560	All Ages	287	Alameda
2013	94566	All Ages	96	Alameda
2013	94568	All Ages	129	Alameda
2013	94577	All Ages	322	Alameda
2013	94578	All Ages	369	Alameda
2013	94579	All Ages	102	Alameda
2013	94580	All Ages	191	Alameda
2013	94587	All Ages	437	Alameda
2013	94601	All Ages	519	Alameda
2013	94602	All Ages	208	Alameda
2013	94603	All Ages	560	Alameda
2013	94605	All Ages	595	Alameda
2013	94606	All Ages	331	Alameda
2013	94607	All Ages	382	Alameda
2013	94608	All Ages	318	Alameda
2013	94609	All Ages	196	Alameda
2013	94610	All Ages	100	Alameda
2013	94611	All Ages	86	Alameda
2013	94612	All Ages	166	Alameda
2013	94618	All Ages	30	Alameda
2013	94619	All Ages	187	Alameda
2013	94621	All Ages	533	Alameda
2013	94702	All Ages	115	Alameda
2013	94703	All Ages	166	Alameda
